Sales Person,Country,Product,Date,Amount,boxes_shipped
Gunar Cockshoot,New Zealand,Fruit & Nut Bars,10-Jun-22,9205.0,419
Curtice Advani,Canada,70% Dark Bites,31-Jan-22,2303.0,7
Kelci Walkden,New Zealand,Manuka Honey Choco,08-Apr-22,1358.0,106
Dotty Strutley,Australia,Baker's Choco Chips,07-Jun-22,3605.0,68
Barr Faughny,Australia,85% Dark Bars,10-Feb-22,8498.0,44
Beverie Moffet,Australia,50% Dark Bites,16-May-22,700.0,457
Gunar Cockshoot,India,Baker's Choco Chips,18-Mar-22,2191.0,524
Van Tuxwell,Australia,50% Dark Bites,13-Jul-22,644.0,137
Oby Sorrel,USA,Manuka Honey Choco,25-Jul-22,4340.0,86
Van Tuxwell,Canada,Choco Coated Almonds,19-Aug-22,2282.0,296
Karlen McCaffrey,Canada,70% Dark Bites,24-Jun-22,7714.0,597
Kelci Walkden,Canada,Fruit & Nut Bars,20-Jun-22,826.0,149
Camilla Castle,India,99% Dark & Pure,02-Aug-22,203.0,207
Madelene Upcott,New Zealand,70% Dark Bites,22-Feb-22,13356.0,93
Mallorie Waber,New Zealand,Orange Choco,01-Feb-22,6510.0,23
Jan Morforth,Canada,70% Dark Bites,14-Feb-22,5894.0,305
Kelci Walkden,Australia,Milk Bars,24-Feb-22,7910.0,125
Dennison Crosswaite,India,Orange Choco,18-Mar-22,784.0,129
Husein Augar,UK,Eclairs,30-Aug-22,1750.0,252
Gigi Bohling,USA,Peanut Butter Cubes,09-May-22,280.0,75
Wilone O'Kielt,USA,Smooth Sliky Salty,18-Jan-22,504.0,87
Curtice Advani,India,White Choc,04-Jul-22,7154.0,342
Oby Sorrel,New Zealand,Spicy Special Slims,03-Jun-22,1617.0,13
Beverie Moffet,New Zealand,Peanut Butter Cubes,23-Feb-22,10822.0,30
Dotty Strutley,New Zealand,99% Dark & Pure,09-May-22,10724.0,203
Kelci Walkden,India,70% Dark Bites,06-Jun-22,3640.0,106
Kelci Walkden,India,Drinking Coco,04-Jul-22,7532.0,234
Brien Boise,New Zealand,Drinking Coco,06-Jun-22,1582.0,100
Dotty Strutley,Australia,Almond Choco,13-May-22,1456.0,91
Wilone O'Kielt,New Zealand,Organic Choco Syrup,31-Jan-22,2016.0,277
Ches Bonnell,New Zealand,Caramel Stuffed Bars,30-Jun-22,7588.0,42
Barr Faughny,Canada,Manuka Honey Choco,25-Aug-22,3402.0,249
Gigi Bohling,New Zealand,Smooth Sliky Salty,10-Jan-22,700.0,97
Brien Boise,USA,Manuka Honey Choco,22-Aug-22,1904.0,8
Roddy Speechley,New Zealand,85% Dark Bars,14-Apr-22,4844.0,275
Oby Sorrel,UK,Smooth Sliky Salty,31-May-22,9625.0,313
Oby Sorrel,UK,Raspberry Choco,08-Apr-22,4599.0,323
Roddy Speechley,USA,Drinking Coco,21-Feb-22,3003.0,155
Andria Kimpton,Australia,Manuka Honey Choco,30-Mar-22,9744.0,377
Mallorie Waber,India,Raspberry Choco,02-Mar-22,1400.0,2
Jehu Rudeforth,USA,Orange Choco,28-Jul-22,364.0,170
Kaine Padly,New Zealand,70% Dark Bites,24-Mar-22,7231.0,38
Curtice Advani,Australia,After Nines,11-Aug-22,63.0,105
Husein Augar,UK,Almond Choco,17-May-22,8309.0,166
Kaine Padly,Canada,Choco Coated Almonds,18-May-22,3164.0,164
Roddy Speechley,UK,Peanut Butter Cubes,17-Aug-22,5691.0,171
Ches Bonnell,New Zealand,Eclairs,04-Apr-22,490.0,49
Brien Boise,India,85% Dark Bars,09-Aug-22,18032.0,205
Brien Boise,New Zealand,Organic Choco Syrup,17-Jan-22,637.0,313
Andria Kimpton,Canada,White Choc,14-Feb-22,4067.0,29
Gigi Bohling,New Zealand,Orange Choco,16-May-22,8204.0,307
Ches Bonnell,Canada,Smooth Sliky Salty,16-Mar-22,9870.0,121
Husein Augar,Canada,70% Dark Bites,31-Jan-22,5131.0,285
Barr Faughny,Canada,Organic Choco Syrup,10-Mar-22,1141.0,205
Oby Sorrel,UK,Organic Choco Syrup,30-Jun-22,7980.0,157
Van Tuxwell,New Zealand,Eclairs,01-Mar-22,5229.0,182
Mallorie Waber,UK,Drinking Coco,27-May-22,3423.0,100
Oby Sorrel,UK,Milk Bars,11-Jul-22,6468.0,223
Karlen McCaffrey,New Zealand,Mint Chip Choco,02-Mar-22,4326.0,61
Jehu Rudeforth,USA,Raspberry Choco,04-Mar-22,7154.0,133
Kelci Walkden,UK,85% Dark Bars,23-Jun-22,3997.0,228
Kelci Walkden,USA,Almond Choco,27-Jan-22,5180.0,233
Marney O'Breen,Canada,Orange Choco,14-Jan-22,2723.0,425
Dennison Crosswaite,India,Fruit & Nut Bars,29-Jul-22,952.0,24
Brien Boise,Canada,Smooth Sliky Salty,13-May-22,5691.0,495
Barr Faughny,Canada,Baker's Choco Chips,03-Feb-22,10969.0,170
Brien Boise,India,Smooth Sliky Salty,27-May-22,5964.0,26
Jan Morforth,Australia,Drinking Coco,18-Feb-22,2821.0,24
Brien Boise,India,Spicy Special Slims,28-Jan-22,1302.0,33
Van Tuxwell,UK,Eclairs,29-Jun-22,5474.0,109
Wilone O'Kielt,India,Caramel Stuffed Bars,13-Jan-22,4179.0,276
Jehu Rudeforth,UK,After Nines,27-Jun-22,1946.0,164
Barr Faughny,Canada,White Choc,29-Mar-22,4291.0,1
Gunar Cockshoot,India,Organic Choco Syrup,03-Jun-22,7196.0,160
Mallorie Waber,Canada,Smooth Sliky Salty,21-Mar-22,1939.0,98
Mallorie Waber,India,Eclairs,12-Apr-22,10437.0,46
Rafaelita Blaksland,Australia,Raspberry Choco,19-Jan-22,6916.0,259
Karlen McCaffrey,UK,50% Dark Bites,06-Apr-22,3647.0,310
Kaine Padly,Australia,50% Dark Bites,02-Aug-22,8995.0,78
Gigi Bohling,Australia,Eclairs,12-Apr-22,7252.0,136
Oby Sorrel,India,Drinking Coco,21-Jul-22,16380.0,130
Van Tuxwell,New Zealand,Baker's Choco Chips,22-Mar-22,9660.0,24
Husein Augar,India,Peanut Butter Cubes,09-May-22,4522.0,5
Andria Kimpton,Australia,Baker's Choco Chips,09-Aug-22,329.0,109
Madelene Upcott,Canada,Choco Coated Almonds,20-Jul-22,3458.0,294
Brien Boise,India,70% Dark Bites,14-Apr-22,4641.0,413
Jehu Rudeforth,Canada,White Choc,25-Jan-22,4627.0,136
Andria Kimpton,Australia,Almond Choco,25-Apr-22,3192.0,175
Dotty Strutley,Canada,After Nines,17-Jan-22,252.0,237
Karlen McCaffrey,USA,Eclairs,15-Aug-22,868.0,125
Karlen McCaffrey,Canada,Fruit & Nut Bars,02-Jun-22,210.0,16
Gunar Cockshoot,USA,85% Dark Bars,30-Jun-22,7007.0,135
Dotty Strutley,New Zealand,Raspberry Choco,10-Feb-22,5845.0,91
Marney O'Breen,Canada,Caramel Stuffed Bars,23-Feb-22,1372.0,614
Dennison Crosswaite,India,Organic Choco Syrup,27-Jan-22,8428.0,216
Camilla Castle,UK,Mint Chip Choco,26-May-22,4977.0,317
Brien Boise,USA,70% Dark Bites,14-Apr-22,1694.0,21
Madelene Upcott,Australia,99% Dark & Pure,01-Aug-22,4326.0,154
Mallorie Waber,Australia,Eclairs,22-Aug-22,9527.0,222
Marney O'Breen,India,99% Dark & Pure,22-Jul-22,10766.0,157
Husein Augar,USA,Fruit & Nut Bars,28-Apr-22,1288.0,27
Kelci Walkden,Australia,Almond Choco,30-May-22,4879.0,350
Ches Bonnell,USA,Milk Bars,21-Jul-22,2408.0,157
Jan Morforth,UK,Caramel Stuffed Bars,02-Aug-22,3094.0,468
Brien Boise,New Zealand,70% Dark Bites,15-Jun-22,7231.0,130
Oby Sorrel,India,85% Dark Bars,05-Jul-22,8981.0,130
Kaine Padly,New Zealand,Smooth Sliky Salty,12-Apr-22,7.0,518
Gigi Bohling,Australia,70% Dark Bites,18-Aug-22,1372.0,105
Jan Morforth,UK,50% Dark Bites,12-Jan-22,5250.0,293
Gunar Cockshoot,Canada,White Choc,11-Aug-22,7560.0,15
Jehu Rudeforth,Australia,Spicy Special Slims,13-Jan-22,5012.0,384
Husein Augar,UK,Baker's Choco Chips,29-Apr-22,3038.0,135
Rafaelita Blaksland,New Zealand,After Nines,07-Jul-22,1099.0,92
Madelene Upcott,New Zealand,Mint Chip Choco,11-Mar-22,7413.0,4
Madelene Upcott,UK,70% Dark Bites,16-Feb-22,5397.0,239
Barr Faughny,Australia,Organic Choco Syrup,07-Jan-22,2303.0,33
Beverie Moffet,New Zealand,Drinking Coco,12-Jan-22,1141.0,518
Beverie Moffet,India,Eclairs,09-Jun-22,10325.0,147
Andria Kimpton,India,Eclairs,16-May-22,2149.0,84
Gigi Bohling,UK,85% Dark Bars,23-Jun-22,12362.0,94
Roddy Speechley,UK,Raspberry Choco,28-Jan-22,12635.0,194
Dotty Strutley,UK,Mint Chip Choco,14-Jul-22,2443.0,216
Barr Faughny,Canada,Drinking Coco,18-Apr-22,6237.0,247
Oby Sorrel,USA,Milk Bars,14-Jun-22,1736.0,79
Oby Sorrel,UK,Orange Choco,15-Apr-22,7315.0,237
Curtice Advani,Canada,Peanut Butter Cubes,19-May-22,4935.0,63
Gigi Bohling,India,White Choc,13-Apr-22,1393.0,172
Husein Augar,Canada,Choco Coated Almonds,15-Aug-22,3381.0,408
Wilone O'Kielt,India,Choco Coated Almonds,22-Aug-22,2933.0,233
Wilone O'Kielt,New Zealand,Baker's Choco Chips,22-Apr-22,3836.0,59
Kaine Padly,UK,Choco Coated Almonds,03-Aug-22,8022.0,123
Dennison Crosswaite,New Zealand,Organic Choco Syrup,04-Jan-22,371.0,229
Kelci Walkden,Canada,After Nines,13-Jan-22,16702.0,198
Van Tuxwell,Australia,Baker's Choco Chips,11-May-22,13258.0,32
Husein Augar,New Zealand,Peanut Butter Cubes,16-Feb-22,2058.0,236
Kaine Padly,UK,Caramel Stuffed Bars,20-May-22,10192.0,67
Jehu Rudeforth,UK,Drinking Coco,03-Feb-22,7140.0,438
Beverie Moffet,India,Manuka Honey Choco,06-May-22,9835.0,167
Gunar Cockshoot,UK,Choco Coated Almonds,30-Jun-22,5775.0,135
Gunar Cockshoot,UK,Smooth Sliky Salty,22-Mar-22,749.0,148
Camilla Castle,Canada,Orange Choco,17-Feb-22,7770.0,54
Jehu Rudeforth,UK,85% Dark Bars,07-Jul-22,5502.0,64
Oby Sorrel,UK,70% Dark Bites,16-Mar-22,6223.0,181
Kelci Walkden,UK,99% Dark & Pure,12-Aug-22,3507.0,114
Gigi Bohling,New Zealand,After Nines,21-Jan-22,5600.0,181
Oby Sorrel,Australia,50% Dark Bites,06-May-22,721.0,151
Oby Sorrel,Canada,50% Dark Bites,24-Jun-22,6615.0,137
Barr Faughny,USA,White Choc,05-May-22,7420.0,163
Rafaelita Blaksland,New Zealand,99% Dark & Pure,25-Mar-22,3164.0,84
Curtice Advani,Australia,Caramel Stuffed Bars,14-Feb-22,9114.0,140
Curtice Advani,New Zealand,85% Dark Bars,12-May-22,5404.0,187
Barr Faughny,New Zealand,Smooth Sliky Salty,25-Jan-22,3990.0,169
Ches Bonnell,UK,85% Dark Bars,28-Jun-22,14924.0,12
Dennison Crosswaite,Australia,Drinking Coco,13-Jul-22,7091.0,194
Roddy Speechley,USA,Milk Bars,16-May-22,2807.0,252
Jan Morforth,India,After Nines,14-Mar-22,6496.0,168
Gunar Cockshoot,USA,After Nines,15-Aug-22,3738.0,261
Ches Bonnell,India,Orange Choco,16-Feb-22,1190.0,256
Mallorie Waber,UK,Manuka Honey Choco,15-Jun-22,8379.0,43
Barr Faughny,Australia,Raspberry Choco,27-May-22,9268.0,100
Wilone O'Kielt,USA,Drinking Coco,14-Jun-22,1029.0,98
Wilone O'Kielt,India,Eclairs,25-Feb-22,3549.0,76
Wilone O'Kielt,India,After Nines,04-Aug-22,12026.0,262
Kelci Walkden,India,99% Dark & Pure,28-Jun-22,2303.0,244
Gunar Cockshoot,Canada,Spicy Special Slims,05-Apr-22,13405.0,12
Madelene Upcott,Canada,Peanut Butter Cubes,05-Jul-22,14763.0,113
Kaine Padly,New Zealand,Eclairs,20-Jan-22,12894.0,48
Ches Bonnell,New Zealand,Drinking Coco,16-Feb-22,8302.0,131
Curtice Advani,UK,Drinking Coco,12-Jul-22,455.0,174
Kelci Walkden,India,Raspberry Choco,16-Jun-22,8183.0,254
Dotty Strutley,Australia,Choco Coated Almonds,13-Apr-22,1645.0,284
Kaine Padly,UK,50% Dark Bites,21-Feb-22,3143.0,67
Roddy Speechley,Canada,Choco Coated Almonds,11-May-22,5873.0,249
Ches Bonnell,India,50% Dark Bites,15-Apr-22,11298.0,313
Oby Sorrel,Canada,Peanut Butter Cubes,07-Jun-22,12425.0,167
Oby Sorrel,UK,White Choc,27-Jun-22,1715.0,286
Barr Faughny,India,After Nines,29-Jul-22,8190.0,109
Wilone O'Kielt,Canada,Smooth Sliky Salty,02-Jun-22,4991.0,166
Rafaelita Blaksland,India,Mint Chip Choco,26-Jan-22,15491.0,85
Rafaelita Blaksland,Canada,99% Dark & Pure,02-Mar-22,5096.0,142
Van Tuxwell,Australia,70% Dark Bites,10-Jan-22,7063.0,104
Beverie Moffet,USA,70% Dark Bites,27-Jun-22,2275.0,115
Barr Faughny,Canada,Orange Choco,30-Jun-22,7602.0,18
Roddy Speechley,Australia,85% Dark Bars,08-Jul-22,4200.0,80
Oby Sorrel,India,Spicy Special Slims,08-Jun-22,11137.0,88
Jan Morforth,UK,Manuka Honey Choco,18-Aug-22,3388.0,212
Kaine Padly,Australia,After Nines,08-Apr-22,6832.0,306
Wilone O'Kielt,Canada,Fruit & Nut Bars,08-Aug-22,3437.0,181
Wilone O'Kielt,UK,Milk Bars,26-Aug-22,301.0,65
Oby Sorrel,Canada,Fruit & Nut Bars,14-Jan-22,1869.0,158
Dennison Crosswaite,USA,Baker's Choco Chips,11-Aug-22,17465.0,271
Madelene Upcott,USA,Almond Choco,31-May-22,10143.0,24
Van Tuxwell,New Zealand,50% Dark Bites,11-Jul-22,3626.0,10
Karlen McCaffrey,Canada,Caramel Stuffed Bars,02-Mar-22,3346.0,304
Madelene Upcott,Australia,Raspberry Choco,13-Jul-22,6321.0,88
Rafaelita Blaksland,UK,Spicy Special Slims,03-Aug-22,9345.0,133
Curtice Advani,UK,Peanut Butter Cubes,01-Mar-22,15008.0,165
Kelci Walkden,New Zealand,White Choc,13-Apr-22,7609.0,150
Beverie Moffet,Canada,Fruit & Nut Bars,14-Feb-22,10332.0,180
Mallorie Waber,India,White Choc,26-Jul-22,819.0,213
Brien Boise,UK,Drinking Coco,27-Jan-22,5754.0,133
Jehu Rudeforth,India,Peanut Butter Cubes,14-Apr-22,28.0,446
Oby Sorrel,USA,Almond Choco,19-May-22,6440.0,141
Husein Augar,India,Eclairs,09-Feb-22,4956.0,58
Brien Boise,UK,Spicy Special Slims,25-May-22,2352.0,58
Oby Sorrel,Australia,Manuka Honey Choco,26-Jan-22,3906.0,76
Beverie Moffet,India,White Choc,04-Jul-22,1813.0,296
Ches Bonnell,India,Almond Choco,13-Apr-22,11788.0,73
Gigi Bohling,Australia,Smooth Sliky Salty,25-Jan-22,5768.0,119
Camilla Castle,USA,85% Dark Bars,25-Apr-22,2401.0,78
Camilla Castle,USA,Eclairs,10-Jun-22,4515.0,392
Madelene Upcott,New Zealand,White Choc,22-Aug-22,10794.0,51
Van Tuxwell,India,After Nines,27-Jun-22,13706.0,207
Husein Augar,India,Orange Choco,30-Jun-22,4361.0,40
Jehu Rudeforth,India,Almond Choco,30-Aug-22,10122.0,100
Karlen McCaffrey,Australia,Raspberry Choco,23-Aug-22,994.0,57
Camilla Castle,New Zealand,99% Dark & Pure,26-Aug-22,2268.0,42
Gigi Bohling,Australia,Orange Choco,09-Mar-22,574.0,156
Kelci Walkden,UK,Drinking Coco,20-Apr-22,1792.0,23
Mallorie Waber,Canada,Caramel Stuffed Bars,10-Jun-22,4844.0,539
Husein Augar,Australia,Organic Choco Syrup,08-Feb-22,938.0,158
Brien Boise,Australia,White Choc,25-Aug-22,4879.0,22
Dotty Strutley,India,Peanut Butter Cubes,16-Feb-22,9107.0,73
Dennison Crosswaite,UK,99% Dark & Pure,30-May-22,12187.0,27
Gigi Bohling,New Zealand,50% Dark Bites,29-Jun-22,5670.0,64
Gigi Bohling,USA,Milk Bars,16-Jun-22,476.0,133
Brien Boise,UK,Caramel Stuffed Bars,04-Mar-22,2681.0,149
Curtice Advani,New Zealand,Peanut Butter Cubes,15-Mar-22,1533.0,434
Curtice Advani,New Zealand,50% Dark Bites,27-Jan-22,9765.0,85
Beverie Moffet,Canada,Drinking Coco,05-Jul-22,994.0,118
Barr Faughny,USA,Caramel Stuffed Bars,29-Mar-22,3318.0,299
Mallorie Waber,Canada,Almond Choco,12-May-22,4214.0,35
Oby Sorrel,USA,Drinking Coco,11-Mar-22,7714.0,44
Brien Boise,New Zealand,Eclairs,11-Jul-22,4690.0,299
Gunar Cockshoot,New Zealand,Choco Coated Almonds,01-Aug-22,13062.0,62
Gunar Cockshoot,UK,Spicy Special Slims,16-Feb-22,12488.0,200
Curtice Advani,USA,After Nines,13-Apr-22,14147.0,235
Oby Sorrel,India,Choco Coated Almonds,14-Feb-22,49.0,363
Ches Bonnell,Australia,Peanut Butter Cubes,14-Mar-22,10199.0,68
Oby Sorrel,Australia,Spicy Special Slims,26-Apr-22,11389.0,26
Jehu Rudeforth,Canada,Manuka Honey Choco,05-Apr-22,3584.0,200
Camilla Castle,Canada,Drinking Coco,03-Mar-22,12481.0,264
Kaine Padly,USA,Spicy Special Slims,13-Jun-22,2107.0,175
Marney O'Breen,New Zealand,70% Dark Bites,14-Feb-22,8603.0,352
Roddy Speechley,New Zealand,99% Dark & Pure,18-Apr-22,7483.0,183
Oby Sorrel,New Zealand,85% Dark Bars,01-Feb-22,3381.0,417
Dotty Strutley,New Zealand,Orange Choco,04-Aug-22,2030.0,146
Andria Kimpton,New Zealand,Almond Choco,05-Apr-22,6559.0,158
Karlen McCaffrey,Australia,99% Dark & Pure,26-Jan-22,10822.0,168
Kaine Padly,UK,After Nines,21-Jan-22,18697.0,176
Kaine Padly,Canada,After Nines,22-Aug-22,5845.0,172
Kaine Padly,UK,Drinking Coco,27-Jan-22,2317.0,224
Rafaelita Blaksland,UK,50% Dark Bites,16-Feb-22,10150.0,68
Dotty Strutley,USA,Raspberry Choco,03-Jan-22,3437.0,46
Karlen McCaffrey,USA,White Choc,24-Aug-22,4592.0,2
Oby Sorrel,USA,Spicy Special Slims,07-Feb-22,5691.0,417
Mallorie Waber,Australia,Smooth Sliky Salty,11-Feb-22,4158.0,109
Kaine Padly,Canada,Organic Choco Syrup,29-Mar-22,5684.0,81
Marney O'Breen,USA,Peanut Butter Cubes,15-Jun-22,693.0,350
Dennison Crosswaite,UK,Smooth Sliky Salty,26-Apr-22,546.0,142
Brien Boise,Australia,Organic Choco Syrup,15-Jul-22,4263.0,264
Beverie Moffet,India,Organic Choco Syrup,23-Jun-22,1036.0,20
Dennison Crosswaite,Australia,Baker's Choco Chips,11-Jan-22,13846.0,421
Beverie Moffet,UK,50% Dark Bites,09-Feb-22,2499.0,271
Van Tuxwell,UK,Almond Choco,06-Jun-22,10689.0,204
Dotty Strutley,UK,Caramel Stuffed Bars,10-Aug-22,5768.0,235
Wilone O'Kielt,Australia,Smooth Sliky Salty,04-Jan-22,2226.0,46
Andria Kimpton,Canada,70% Dark Bites,08-Apr-22,10262.0,15
Barr Faughny,UK,Milk Bars,02-Mar-22,3864.0,430
Van Tuxwell,Canada,Drinking Coco,15-Jun-22,4900.0,709
Jehu Rudeforth,Australia,After Nines,14-Feb-22,5250.0,47
Husein Augar,UK,After Nines,05-Jul-22,3507.0,380
Barr Faughny,India,Mint Chip Choco,12-Jan-22,7413.0,465
Curtice Advani,India,Mint Chip Choco,03-Mar-22,8155.0,96
Jehu Rudeforth,New Zealand,Milk Bars,18-May-22,2478.0,188
Gunar Cockshoot,India,Caramel Stuffed Bars,28-Jul-22,2471.0,202
Curtice Advani,UK,Manuka Honey Choco,07-Feb-22,1666.0,106
Andria Kimpton,India,Orange Choco,30-May-22,301.0,421
Mallorie Waber,Australia,Raspberry Choco,25-Apr-22,8400.0,27
Beverie Moffet,Canada,85% Dark Bars,16-Feb-22,6139.0,45
Kelci Walkden,Australia,Drinking Coco,04-May-22,1288.0,60
Van Tuxwell,Canada,70% Dark Bites,02-Jun-22,7077.0,77
Dennison Crosswaite,USA,Caramel Stuffed Bars,11-Jul-22,2317.0,464
Beverie Moffet,New Zealand,Spicy Special Slims,07-Jun-22,63.0,60
Jan Morforth,UK,Almond Choco,06-Jul-22,9744.0,157
Husein Augar,India,Raspberry Choco,15-Jun-22,9954.0,154
Dotty Strutley,India,Mint Chip Choco,14-Apr-22,1260.0,239
Camilla Castle,India,Drinking Coco,08-Aug-22,469.0,163
Marney O'Breen,UK,Drinking Coco,29-Mar-22,973.0,28
Roddy Speechley,Australia,Organic Choco Syrup,04-Jul-22,3647.0,76
Ches Bonnell,India,99% Dark & Pure,16-Feb-22,455.0,96
Rafaelita Blaksland,Canada,Spicy Special Slims,02-May-22,2520.0,156
Van Tuxwell,India,Eclairs,21-Jul-22,10500.0,106
Gunar Cockshoot,Australia,99% Dark & Pure,18-Aug-22,7952.0,235
Kaine Padly,USA,85% Dark Bars,22-Jun-22,483.0,259
Camilla Castle,UK,Peanut Butter Cubes,19-Jul-22,4872.0,126
Madelene Upcott,UK,Peanut Butter Cubes,12-Aug-22,7756.0,85
Madelene Upcott,USA,Choco Coated Almonds,07-Jun-22,5446.0,132
Marney O'Breen,Canada,Peanut Butter Cubes,08-Mar-22,6594.0,91
Ches Bonnell,Australia,Choco Coated Almonds,08-Apr-22,1470.0,167
Curtice Advani,Canada,Eclairs,06-May-22,721.0,203
Roddy Speechley,India,Drinking Coco,31-May-22,4494.0,11
Van Tuxwell,Australia,Mint Chip Choco,13-Jan-22,2674.0,295
Dennison Crosswaite,USA,70% Dark Bites,15-Mar-22,658.0,77
Andria Kimpton,Canada,Peanut Butter Cubes,16-Feb-22,1127.0,319
Gigi Bohling,USA,70% Dark Bites,14-Jan-22,7364.0,196
Rafaelita Blaksland,Australia,White Choc,21-Mar-22,6818.0,102
Roddy Speechley,Canada,Drinking Coco,17-May-22,6776.0,312
Camilla Castle,New Zealand,85% Dark Bars,08-Aug-22,15099.0,55
Madelene Upcott,Canada,Milk Bars,26-Apr-22,3612.0,82
Madelene Upcott,Australia,70% Dark Bites,15-Apr-22,3710.0,260
Oby Sorrel,Canada,Eclairs,19-May-22,6111.0,591
Dennison Crosswaite,Canada,Drinking Coco,10-Jan-22,2702.0,24
Mallorie Waber,New Zealand,After Nines,04-May-22,483.0,228
Roddy Speechley,Canada,White Choc,05-Apr-22,5887.0,268
Andria Kimpton,India,After Nines,17-Jan-22,952.0,68
Roddy Speechley,India,Spicy Special Slims,22-Mar-22,10647.0,173
Dotty Strutley,Australia,White Choc,05-Jul-22,6055.0,93
Oby Sorrel,Canada,Orange Choco,27-Apr-22,8757.0,338
Kaine Padly,Canada,Almond Choco,12-Aug-22,6055.0,73
Jan Morforth,UK,Baker's Choco Chips,11-Mar-22,721.0,251
Jehu Rudeforth,UK,Fruit & Nut Bars,13-May-22,8589.0,229
Dennison Crosswaite,USA,Smooth Sliky Salty,12-May-22,11781.0,91
Brien Boise,USA,Raspberry Choco,12-Jan-22,672.0,194
Madelene Upcott,New Zealand,Milk Bars,29-Mar-22,12558.0,403
Roddy Speechley,India,50% Dark Bites,14-Mar-22,8337.0,12
Barr Faughny,New Zealand,99% Dark & Pure,24-May-22,8134.0,195
Dennison Crosswaite,Canada,Organic Choco Syrup,28-Jan-22,8491.0,75
Beverie Moffet,India,Almond Choco,24-May-22,3066.0,96
Brien Boise,Australia,Peanut Butter Cubes,19-Aug-22,301.0,205
Karlen McCaffrey,Australia,Spicy Special Slims,17-May-22,4410.0,323
Jehu Rudeforth,USA,White Choc,07-Jun-22,6559.0,119
Ches Bonnell,Canada,Organic Choco Syrup,26-Jul-22,574.0,217
Dotty Strutley,India,Eclairs,28-Jul-22,2086.0,384
Karlen McCaffrey,India,70% Dark Bites,23-May-22,5075.0,344
